COA,Org,Funding Org Name,Plan,Grade,Post,Class,Pos Nbr,Dept ID,Position Dept Name,Salary,FTE,Months
BL,MSCI,IUSM - BLOOMINGTON,AC1,FVX,FV8,,00053730,IN-MSCI,IUSM - BLOOMINGTON,54835,1,12
BL,INFI,DEPARTMENT OF INFORMATICS,AC1,RSP,RSP,,00048823,BL-INFI,DEPARTMENT OF INFORMATICS,41200,1,12
BL,CGB,CGB SEQUENCING FACILITY,AC1,RSS,RSS,,00028414,BL-CGBI,GENOMICS AND BIOINFORMATICS,58834,1,12
BL,MATH,MATHEMATICS,AC1,FVX,,,00000745,BL-MATH,MATHEMATICS,47500,1,10
BL,EBIO,EPIDEMIOLOGY AND BIOSTATISTICS,AC1,RSS,RSS,,00009991,BL-EBIO,EPIDEMIOLOGY AND BIOSTATISTICS,73250,1,12
BL,PL,PHILOSOPHY,AC1,FTX,AAM,,00013396,BL-PL,PHILOSOPHY,97947,1,10
BL,INFI,DEPARTMENT OF INFORMATICS,AC1,FTX,FT1,PR - Professor,00053583,BL-INFI,DEPARTMENT OF INFORMATICS,361846,1,12
BL,SOAD,ESKENAZI SCHOOL OF ART ARCH + DESIGN,AC1,FTX,FT1,PR - Professor,00054488,BL-SOAD,ESKENAZI SCHOOL OF ART ARCH + ,160000,1,10
BL,SOCW,SCHOOL OF SOCIAL WORK,AC1,FVX,FV5,TL - Lecturer,00012276,IN-SOCW,SCHOOL OF SOCIAL WORK,59740,1,12
BL,MUTH,MUSIC THEORY,AC1,FTX,FT2,PC - Associate Professor,00005962,BL-MUS,JACOBS SCHOOL OF MUSIC,78000,1,10
BL,ENG,ENGLISH,AC1,FTX,AAL,,00005048,BL-ENG,ENGLISH,119036,1,10
BL,PL,PHILOSOPHY,AC1,FTX,FT3,PT - Assistant Professor,00005453,BL-PL,PHILOSOPHY,79898,1,10
BL,PSY,PSYCHOLOGICAL & BRAIN SCIENCES,AC1,FVX,FV8,,00029072,BL-PSY,PSYCHOLOGICAL & BRAIN SCIENCES,37370,1,12
BL,CIMS,CINEMA & MEDIA STUDIES,AC1,FTX,FT2,PC - Associate Professor,00042519,BL-CIMS,CINEMA & MEDIA STUDIES,94822,1,10
BL,SPEA,THE O'NEILL SCHOOL - BL SPEA,AC1,FCX,FC1,PR - Professor,00008171,BL-SPEA,THE O'NEILL SCHOOL - BL SPEA,113345,1,10
BL,NELC,MIDDLE EASTERN LANGUAGES AND CULTURE,AC1,FTX,FT1,PR - Professor,00028698,BL-NELC,MIDDLE EASTERN LANGUAGES AND C,144466,1,10
BL,MATH,MATHEMATICS,AC1,FLX,FL5,TL - Lecturer,00026799,BL-MATH,MATHEMATICS,53000,1,10
BL,CEDP,COUNSELING & EDUCATIONAL PSY,AC1,FTX,FT3,PT - Assistant Professor,00005689,BL-EDUC,EDUCATION,77462,1,10
BL,APHS,APPLIED HEALTH SCIENCE,AC1,FTX,FT2,PC - Associate Professor,00004690,BL-APHS,APPLIED HEALTH SCIENCE,155864,1,10
BL,APHS,APPLIED HEALTH SCIENCE,AC1,FTX,FT3,PT - Assistant Professor,00004698,BL-APHS,APPLIED HEALTH SCIENCE,97679,1,10
BL,LAWL,LAW LIBRARY,AC1,LTX,LT2,LC - Associate Librarian,00018019,BL-LAWL,LAW LIBRARY,89554,1,12
BL,BI,BIOLOGY,AC1,RSS,RSS,,00000878,BL-BI,BIOLOGY,37370,1,12
BL,INFI,DEPARTMENT OF INFORMATICS,AC1,FTX,FT1,PR - Professor,00026761,BL-INFI,DEPARTMENT OF INFORMATICS,143089,1,10
BL,BEPP,DEPT OF ECONOMICS & PUBLIC POLICY,AC1,FVX,FV3,PT - Assistant Professor,00054605,BL-BUS,KELLEY SCHOOL OF BUSINESS,115000,1,10
BL,EALC,EAST ASIAN LANGS & CULTURES,AC1,FTX,FT3,PT - Assistant Professor,00008149,BL-EALC,EAST ASIAN LANGS & CULTURES,83005,1,10
BL,GRCH,GRAND CHALLENGE,AC1,FTX,FT2,PC - Associate Professor,00005539,BL-EBIO,EPIDEMIOLOGY AND BIOSTATISTICS,139463,1,10
BL,OADT,BUSINESS OPERATIONS & DECISION TECHNOLOG,AC1,FLX,FLS,TS - Senior Lecturer,00011059,BL-BUS,KELLEY SCHOOL OF BUSINESS,95000,1,10
BL,CRIN,CURRICULUM & INSTRUCTION,AC1,FTX,FT1,PR - Professor,00000035,BL-EDUC,EDUCATION,135523,1,10
BL,EALC,EAST ASIAN LANGS & CULTURES,AC1,FLX,FLS,TS - Senior Lecturer,00034539,BL-EALC,EAST ASIAN LANGS & CULTURES,64322,1,10
BL,SOAD,ESKENAZI SCHOOL OF ART ARCH + DESIGN,AC1,FTX,AAM,,00005359,BL-SOAD,ESKENAZI SCHOOL OF ART ARCH + ,89446,1,10
BL,NELC,MIDDLE EASTERN LANGUAGES AND CULTURE,AC1,FTX,FT1,PR - Professor,00005379,BL-NELC,MIDDLE EASTERN LANGUAGES AND C,95627,1,10
BL,MUCA,CHORAL ENSEMBLE,AC1,FTX,FT2,PC - Associate Professor,00006008,BL-MUS,JACOBS SCHOOL OF MUSIC,76688,1,10
BL,NELC,MIDDLE EASTERN LANGUAGES AND CULTURE,AC1,FLX,FL5,TL - Lecturer,00027235,BL-NELC,MIDDLE EASTERN LANGUAGES AND C,53774,1,10
